Frequency (Hz) - Plot 0	Amplitude (V) - Plot 0	
9999.87	4.99504	
9999.88	4.99488	
9999.88	4.99523	
9999.88	4.99493	
9999.88	4.99517	
9999.87	4.99498	
9999.87	4.9953	
9999.87	4.99521	
9999.87	4.99503	
9999.87	4.99519	
9999.87	4.99492	
9999.87	4.99512	
9999.87	4.99498	
9999.87	4.99503	
9999.87	4.99493	
9999.88	4.99497	
9999.87	4.99499	
9999.87	4.99509	
9999.87	4.99504	
9999.87	4.99487	
9999.87	4.995	
9999.87	4.995	
9999.87	4.99498	
9999.87	4.99511	
9999.87	4.99511	
9999.87	4.99471	
9999.87	4.99486	
9999.87	4.99493	
9999.87	4.99502	
9999.87	4.9949	
9999.87	4.9951	
9999.87	4.99496	
9999.87	4.99491	
9999.87	4.995	
9999.87	4.99491	
9999.88	4.99499	
9999.87	4.99489	
9999.87	4.99487	
9999.87	4.99502	
9999.87	4.995	
9999.87	4.99499	
9999.88	4.99487	
9999.87	4.9951	
9999.87	4.99491	
9999.88	4.9947	
9999.87	4.99484	
9999.88	4.99479	
9999.87	4.99503	
9999.88	4.99495	
9999.87	4.995	
9999.87	4.9949	
9999.87	4.995	
9999.87	4.99486	
9999.87	4.99484	
9999.88	4.99494	
9999.87	4.99493	
9999.87	4.99497	
9999.87	4.99498	
9999.87	4.99498	
9999.87	4.99504	
9999.87	4.99506	
9999.87	4.99518	
9999.87	4.99514	
9999.88	4.99496	
9999.87	4.99519	
9999.87	4.99505	
9999.87	4.99501	
9999.87	4.99506	
9999.87	4.99527	
9999.87	4.99527	
9999.88	4.99497	
9999.87	4.99478	
9999.87	4.99482	
9999.87	4.99507	
9999.87	4.99513	
9999.87	4.99482	
9999.87	4.99503	
9999.88	4.99502	
9999.87	4.995	
9999.87	4.99502	
9999.87	4.99488	
9999.87	4.99514	
9999.88	4.99513	
9999.87	4.99502	
9999.87	4.99493	
9999.87	4.99509	
9999.87	4.99496	
9999.87	4.99474	
9999.87	4.9949	
9999.87	4.99486	
9999.87	4.99494	
9999.87	4.99503	
9999.87	4.99499	
9999.87	4.99492	
9999.87	4.99501	
9999.88	4.99486	
9999.87	4.99482	
9999.87	4.99475	
9999.87	4.99493	
9999.87	4.99496	
9999.88	4.99485	
9999.88	4.99503	
9999.87	4.99502	
9999.88	4.9948	
9999.88	4.99505	
9999.87	4.9952	
9999.87	4.99503	
9999.88	4.99511	
9999.87	4.99515	
9999.87	4.99493	
9999.87	4.99491	
9999.87	4.99493	
9999.87	4.99499	
9999.87	4.9949	
9999.87	4.99488	
9999.87	4.99498	
9999.87	4.99476	
9999.88	4.9948	
9999.88	4.99492	
9999.87	4.99508	
9999.87	4.99511	
9999.87	4.99504	
9999.87	4.99489	
9999.87	4.99496	
9999.87	4.99516	
9999.88	4.99466	
9999.88	4.99483	
9999.88	4.99484	
9999.88	4.99484	
9999.87	4.99498	
9999.87	4.99485	
9999.87	4.9948	
9999.87	4.9949	
9999.87	4.99505	
9999.88	4.99472	
9999.87	4.99476	
9999.87	4.99502	
9999.87	4.99484	
9999.87	4.99496	
9999.88	4.99484	
9999.87	4.99496	
9999.88	4.99464	
9999.87	4.99492	
9999.87	4.99499	
9999.87	4.99477	
9999.88	4.99496	
9999.87	4.99485	
9999.87	4.99486	
9999.88	4.99484	
9999.88	4.99484	
9999.88	4.99488	
9999.87	4.99502	
9999.87	4.99472	
9999.87	4.99503	
9999.87	4.99494	
9999.87	4.9949	
9999.87	4.9949	
9999.87	4.99499	
9999.87	4.99506	
9999.87	4.99518	
9999.87	4.99493	
9999.88	4.99506	
9999.87	4.99508	
9999.87	4.99499	
9999.87	4.99514	
9999.87	4.99497	
9999.88	4.99501	
9999.87	4.99494	
9999.87	4.9948	
9999.87	4.99498	
9999.87	4.99504	
9999.86	4.99523	
9999.87	4.99485	
9999.88	4.99503	
9999.87	4.99499	
9999.87	4.99508	
9999.87	4.99506	
9999.87	4.99496	
9999.87	4.99489	
9999.87	4.9949	
9999.87	4.99485	
9999.88	4.99494	
9999.88	4.9948	
9999.87	4.99515	
9999.87	4.99489	
9999.87	4.99491	
9999.87	4.99512	
9999.87	4.99499	
9999.87	4.99463	
9999.87	4.99497	
9999.88	4.99494	
9999.88	4.99494	
9999.87	4.99504	
9999.88	4.99503	
9999.87	4.99501	
9999.88	4.99503	
9999.87	4.99505	
9999.87	4.99492	
9999.87	4.99481	
9999.87	4.9948	
9999.87	4.99519	
9999.86	4.99515	
9999.88	4.99495	
9999.88	4.99514	
9999.87	4.99519	
9999.87	4.99494	
9999.87	4.99488	
9999.87	4.99496	
9999.87	4.99506	
9999.87	4.99504	
9999.87	4.99492	
9999.87	4.99488	
9999.87	4.99508	
9999.87	4.99506	
9999.87	4.99495	
9999.88	4.99504	
9999.87	4.99477	
9999.87	4.99489	
9999.87	4.99502	
9999.86	4.99507	
9999.87	4.99464	
9999.88	4.99485	
9999.87	4.99502	
9999.87	4.9949	
9999.87	4.99488	
9999.87	4.99512	
9999.87	4.99482	
9999.87	4.99507	
9999.87	4.99511	
9999.87	4.9951	
9999.87	4.99499	
9999.87	4.99497	
9999.87	4.99507	
9999.87	4.99495	
9999.87	4.99497	
9999.87	4.9948	
9999.87	4.99491	
9999.87	4.99474	
9999.87	4.99494	
9999.88	4.99488	
9999.87	4.9948	
9999.87	4.99484	
9999.88	4.99497	
9999.88	4.99497	
9999.88	4.99485	
9999.87	4.99494	
9999.88	4.99486	
9999.87	4.99479	
9999.87	4.99491	
9999.87	4.99483	
9999.87	4.99493	
9999.88	4.99488	
9999.87	4.995	
9999.87	4.99458	
9999.87	4.9948	
9999.87	4.9949	
9999.87	4.9948	
9999.88	4.99476	
9999.88	4.99477	
9999.88	4.99496	
9999.88	4.99481	
9999.87	4.99492	
9999.87	4.99501	
9999.87	4.99488	
9999.87	4.99503	
9999.87	4.99485	
9999.88	4.99489	
9999.87	4.99486	
