Frequency (Hz) - Plot 0	Amplitude (V) - Plot 0	
1000	4.92853	
1000	4.92849	
1100	4.92834	
1200	4.92814	
1200	4.92829	
1300	4.92777	
1400	4.92712	
1400	4.92736	
1500	4.92677	
1600	4.92615	
1600	4.92653	
1700	4.92604	
1700	4.92581	
1800	4.92542	
1900	4.92485	
1900	4.9248	
2000	4.92421	
2100	4.92385	
2100	4.9239	
2200	4.92309	
2300	4.92239	
2300	4.92257	
2400	4.92189	
2500	4.92091	
2500	4.9209	
2600	4.92045	
2700	4.91971	
2700	4.91985	
2800	4.91878	
2900	4.91848	
2900	4.91835	
3000	4.9172	
3000	4.91732	
3100	4.9166	
3200	4.91603	
3200	4.9157	
3300	4.9149	
3400	4.91404	
3400	4.91438	
3500	4.9135	
3600	4.91244	
3600	4.91232	
3700	4.91148	
3800	4.91071	
3800	4.91074	
3900	4.90952	
3900	4.90954	
4000	4.9087	
4100	4.90783	
4100	4.90774	
4200	4.90664	
4300	4.90548	
4300	4.90537	
4400	4.90437	
4400	4.90433	
4500	4.90333	
4600	4.90214	
4600	4.90242	
4700	4.90112	
4800	4.90091	
4800	4.90009	
4900	4.89905	
5000	4.89798	
5000	4.89774	
5100	4.89693	
5200	4.8957	
5200	4.89545	
5300	4.89423	
5400	4.89299	
5400	4.89304	
5500	4.89199	
5600	4.89035	
5600	4.89029	
5700	4.88895	
5700	4.88898	
5800	4.88789	
5900	4.88663	
5900	4.88658	
6000	4.88535	
6100	4.88416	
6100	4.88409	
6200	4.88245	
6300	4.88121	
6300	4.88122	
6400	4.87995	
6500	4.87858	
6500	4.87848	
6600	4.87733	
6600	4.87739	
6700	4.87615	
6800	4.8747	
6800	4.875	
6900	4.87342	
7000	4.8722	
7000	4.87231	
7100	4.87094	
7200	4.86968	
7200	4.86974	
7300	4.86821	
7400	4.86689	
7400	4.86708	
7500	4.86564	
7600	4.86459	
7600	4.86456	
7600	4.86443	
7800	4.86234	
7800	4.86213	
7900	4.86114	
7954	4.82509	
8000	4.85986	
8100	4.85892	
8100	4.85876	
8200	4.85792	
8300	4.85667	
8300	4.85681	
8400	4.85548	
8400	4.85579	
8500	4.85464	
8509	4.84029	
8600	4.8537	
8700	4.85296	
8800	4.852	
8800	4.85189	
8900	4.85103	
9000	4.85021	
9000	4.85035	
9100	4.84958	
9200	4.849	
9200	4.84904	
9300	4.8481	
9300	4.84815	
9400	4.84759	
9500	4.84678	
9600	4.84617	
9600	4.84618	
9700	4.84583	
9700	4.8459	
9800	4.84519	
9900	4.8448	
9900	4.845	
10000	4.84456	
10100	4.844	
10100	4.84399	
10200	4.84343	
