Frequency (Hz) - Plot 0	Amplitude (V) - Plot 0	
301	0.205724	
300	0.38272	
300	0.382992	
399	0.403824	
399	0.403904	
500	0.426885	
600	0.454514	
600	0.454618	
700	0.484677	
800	0.517188	
800	0.517169	
900	0.55145	
1000	0.58687	
1000	0.586936	
1100	0.624031	
1200	0.661589	
1200	0.661805	
1300	0.700239	
1400	0.739287	
1400	0.739401	
1500	0.779163	
1500	0.77903	
1600	0.818869	
1700	0.859007	
1700	0.85896	
1800	0.899121	
1900	0.939508	
1900	0.939607	
2000	0.979844	
2100	1.0206	
2100	1.02051	
2200	1.06086	
2300	1.10128	
2300	1.10129	
2400	1.14132	
2500	1.18145	
2500	1.18133	
2600	1.22154	
2700	1.26136	
2700	1.26124	
2800	1.30074	
2800	1.30079	
2900	1.3401	
3000	1.37915	
3000	1.37908	
3100	1.41789	
3200	1.45645	
3200	1.4564	
3300	1.49478	
3400	1.53275	
3400	1.53263	
3500	1.57031	
3600	1.60765	
3600	1.6076	
3600	1.60762	
3800	1.68133	
3800	1.68136	
3900	1.71776	
4000	1.75392	
4000	1.75379	
4100	1.78952	
4200	1.8248	
4200	1.82475	
4300	1.85979	
4400	1.89425	
4400	1.89425	
4500	1.92841	
4600	1.96244	
4600	1.96249	
4700	1.99593	
4800	2.02898	
4800	2.02903	
4900	2.06189	
5000	2.094	
5000	2.09384	
5100	2.1259	
5200	2.15767	
5200	2.15763	
5300	2.18895	
5400	2.21968	
5400	2.21963	
5500	2.25014	
5600	2.28018	
5600	2.28015	
5700	2.30988	
5800	2.33902	
5800	2.33905	
5900	2.36799	
6000	2.39656	
6000	2.39661	
6100	2.42483	
6200	2.4526	
6300	2.48006	
6300	2.47997	
6400	2.50708	
6400	2.507	
6500	2.5337	
6600	2.56002	
6600	2.55987	
6700	2.58601	
6800	2.61185	
6800	2.61188	
6900	2.6371	
7000	2.66191	
7000	2.66199	
7100	2.68657	
7100	2.68649	
7200	2.71101	
7300	2.73487	
7300	2.73463	
7400	2.75828	
7500	2.78183	
7500	2.78172	
7600	2.80466	
7700	2.82733	
7700	2.82727	
7800	2.8497	
7900	2.87175	
7900	2.87156	
8000	2.89328	
8100	2.91501	
8100	2.91482	
8200	2.93606	
8300	2.957	
8300	2.95698	
8400	2.97755	
8500	2.99786	
8500	2.99793	
8600	3.01787	
8700	3.03776	
8700	3.03755	
8800	3.05716	
8900	3.07658	
8900	3.07635	
9000	3.09552	
9100	3.11421	
9100	3.11418	
9200	3.13274	
9200	3.13291	
