Frequency (Hz) - Plot 0	Amplitude (V) - Plot 0	
1000	4.72784	
1000	4.72769	
1100	4.72264	
1100	4.72261	
1200	4.71668	
1300	4.71069	
1300	4.71086	
1300	4.71069	
1400	4.70416	
1500	4.69732	
1600	4.69028	
1700	4.68254	
1700	4.68255	
1800	4.67442	
1900	4.66647	
1900	4.66653	
2000	4.65755	
2100	4.64849	
2100	4.64864	
2200	4.63926	
2200	4.63918	
2300	4.62961	
2400	4.61974	
2400	4.61963	
2500	4.60978	
2600	4.59929	
2600	4.59924	
2700	4.58822	
2800	4.57729	
2800	4.57733	
2900	4.56578	
2900	4.56609	
3000	4.55438	
3100	4.54229	
3100	4.54253	
3200	4.53042	
3300	4.51804	
3300	4.51824	
3400	4.50549	
3500	4.49277	
3500	4.49291	
3600	4.47978	
3700	4.46663	
3700	4.46654	
3800	4.45314	
3900	4.43948	
3900	4.43973	
4000	4.42581	
4100	4.41169	
4100	4.41179	
4100	4.41174	
4300	4.38345	
4300	4.38361	
4400	4.369	
4400	4.36911	
4500	4.35434	
4600	4.33976	
4600	4.33964	
4700	4.32478	
4800	4.30997	
4800	4.30987	
4900	4.29481	
5000	4.27961	
5000	4.27944	
5100	4.26409	
5200	4.24858	
5200	4.24856	
5300	4.23311	
5300	4.23303	
5400	4.21732	
5500	4.20146	
5500	4.20144	
5600	4.18562	
5700	4.16946	
5700	4.1697	
5800	4.15367	
5800	4.15348	
5900	4.1375	
6000	4.12116	
6000	4.12129	
6100	4.10485	
6200	4.08873	
6200	4.08879	
6300	4.07233	
6400	4.05596	
6400	4.05612	
6500	4.03967	
6600	4.02322	
6600	4.02333	
6700	4.00677	
6700	4.00676	
6800	3.99019	
6900	3.97349	
6900	3.97355	
7000	3.95718	
7100	3.94052	
7100	3.9406	
7200	3.92412	
7300	3.90729	
7300	3.90732	
7400	3.89078	
7500	3.87414	
7500	3.87422	
7600	3.85767	
7700	3.84107	
7700	3.84111	
7800	3.82456	
7900	3.80803	
7900	3.80811	
8000	3.79139	
8100	3.77504	
8100	3.77514	
8200	3.75869	
8300	3.74241	
8300	3.74225	
8400	3.7259	
8400	3.72579	
8500	3.70967	
8600	3.69341	
8600	3.69334	
8700	3.67717	
8800	3.66099	
8800	3.66102	
8900	3.64481	
9000	3.62878	
9000	3.62879	
9100	3.6129	
9200	3.59683	
9200	3.59683	
9300	3.58116	
9400	3.56527	
9400	3.56536	
9500	3.54951	
9600	3.53372	
9600	3.53398	
9700	3.51827	
9800	3.50269	
9800	3.50289	
9900	3.48742	
10000	3.47207	
10000	3.47197	
10100	3.45671	
10200	3.44161	
10200	3.44166	
10300	3.42651	
10400	3.4116	
10400	3.41158	
10500	3.39658	
10600	3.38171	
10600	3.38174	
10700	3.36708	
10700	3.3671	
10800	3.35235	
10900	3.33761	
10900	3.33777	
11000	3.3232	
11100	3.30869	
11100	3.3089	
11200	3.2945	
11300	3.28025	
11300	3.2803	
11400	3.2661	
11500	3.25212	
11500	3.25219	
11600	3.23813	
11700	3.22425	
11700	3.22432	
11800	3.21052	
11900	3.19684	
11900	3.19674	
12000	3.18318	
12000	3.18327	
12100	3.16979	
12200	3.15629	
12200	3.15639	
12300	3.14306	
12400	3.12972	
12400	3.12973	
12500	3.11641	
12600	3.10346	
12600	3.10353	
12700	3.09043	
12800	3.07746	
12800	3.07746	
12900	3.06472	
13000	3.05189	
13000	3.05183	
13100	3.03913	
13200	3.02667	
13200	3.02664	
13300	3.01399	
13300	3.01409	
13400	3.00147	
13500	2.98921	
13600	2.97703	
13600	2.97699	
13700	2.96486	
13700	2.96465	
13800	2.9527	
13900	2.94064	
14000	2.92872	
14000	2.92873	
14100	2.91679	
14200	2.90495	
14200	2.90501	
14300	2.89309	
14400	2.88144	
14400	2.88156	
14500	2.86994	
