Frequency (Hz) - Plot 0	Fase (Deg) - Plot 0	
1000.06	54.831	
1100.06	56.5834	
1100.06	56.5914	
1199.9	58.0045	
1299.92	59.1838	
1299.93	59.1825	
1399.96	60.1462	
1499.98	60.9307	
1499.97	60.9427	
1599.99	61.5868	
1700.02	62.1077	
1700.02	62.1069	
1717.18	61.4834	
1900.07	62.8314	
1900.07	62.8298	
1999.9	63.0647	
2099.93	63.227	
2099.92	63.2264	
2199.95	63.3198	
2199.95	63.3162	
2299.97	63.3635	
2399.99	63.352	
2399.99	63.3514	
2500.02	63.2979	
2600.04	63.1971	
2600.04	63.1947	
2700.07	63.0562	
2700.07	63.0554	
2799.9	62.8925	
2899.92	62.687	
2999.95	62.4466	
2999.95	62.4507	
3099.97	62.1912	
3200	61.8967	
3199.99	61.8986	
3300.02	61.5845	
3300.01	61.5827	
3400.04	61.249	
3499.87	60.8937	
3499.87	60.8875	
3599.9	60.5165	
3699.92	60.1148	
3699.93	60.1103	
3739.71	60.8795	
3899.97	59.2621	
3899.97	59.2563	
3999.99	58.8045	
3999.99	58.7999	
4100.01	58.3283	
4200.04	57.8427	
4200.04	57.8422	
4299.87	57.3414	
4399.9	56.8228	
4399.9	56.8192	
4499.92	56.28	
4599.94	55.7331	
4599.94	55.7319	
4699.96	55.1673	
4799.99	54.5904	
4799.99	54.5858	
4900.01	53.9887	
4900.01	53.9899	
5000.04	53.3816	
5099.87	52.7594	
5099.87	52.7559	
5199.89	52.1214	
5299.91	51.476	
5299.91	51.4743	
5399.94	50.8111	
5499.97	50.135	
5499.96	50.1338	
5599.99	49.4454	
5700.01	48.7455	
5700.01	48.7398	
5800.03	48.0273	
5899.87	47.3033	
5899.87	47.3025	
5999.89	46.5599	
5999.89	46.5581	
6099.91	45.8198	
6199.94	45.0533	
6199.94	45.0485	
6299.96	44.2783	
6399.98	43.4892	
6399.98	43.4874	
6500	42.6935	
6599.84	41.8879	
6599.84	41.883	
6699.87	41.0679	
6699.87	41.0649	
6799.89	40.2397	
6899.91	39.4044	
6899.91	39.4009	
6999.93	38.5566	
7099.96	37.7012	
7099.96	37.7003	
7199.98	36.8353	
7300	35.9679	
7300	35.9586	
7399.84	35.0848	
7399.84	35.0789	
7499.86	34.1874	
7599.89	33.2988	
7599.88	33.2919	
7699.91	32.3924	
7799.93	31.4823	
7799.93	31.4812	
7899.95	30.5684	
7999.98	29.6479	
7999.98	29.646	
8100	28.7201	
8199.84	27.7915	
8199.84	27.7898	
8299.86	26.8613	
8399.88	25.9281	
8399.88	25.9259	
8399.88	25.9225	
8499.9	24.9836	
8599.93	24.0419	
8699.95	23.1038	
8699.95	23.1016	
8799.97	22.1553	
8900	21.2124	
8900	21.2068	
8999.83	20.2668	
9099.85	19.3201	
9099.86	19.3192	
9199.88	18.3777	
9299.9	17.4369	
9299.9	17.4392	
9399.92	16.4966	
9499.95	15.561	
9499.95	15.5563	
9599.97	14.6273	
9699.81	13.6944	
9699.81	13.6985	
9799.83	12.7763	
9899.85	11.85	
9899.85	11.8512	
9999.88	10.9319	
10099.9	10.0188	
10099.9	10.0215	
10199.9	9.11504	
10299.9	8.21555	
10299.9	8.215	
10400	7.31944	
10499.8	6.4338	
10499.8	6.43621	
10599.8	5.55405	
10699.8	4.68237	
10699.8	4.68374	
10799.9	3.81865	
10899.9	2.96505	
10899.9	2.96393	
10999.9	2.11752	
11099.9	1.27548	
11099.9	1.28051	
11200	0.44893	
11200	0.449085	
11299.8	-0.370203	
11399.8	-1.18304	
11399.8	-1.18221	
11499.8	-1.98376	
11599.9	-2.77914	
11599.9	-2.77544	
11699.9	-3.56154	
11799.9	-4.33787	
11799.9	-4.33405	
11899.9	-5.09463	
12000	-5.85118	
12099.8	-6.5916	
12099.8	-6.58778	
12199.8	-7.33139	
12299.8	-8.04945	
12299.8	-8.04496	
12399.9	-8.7605	
12499.9	-9.45917	
12499.9	-9.46014	
12599.9	-10.1515	
12699.9	-10.8354	
12699.9	-10.8303	
12799.8	-11.5073	
12799.8	-11.5015	
12899.8	-12.1632	
12999.8	-12.8141	
12999.8	-12.8168	
13099.8	-13.4575	
13199.9	-14.0895	
13199.9	-14.086	
13299.9	-14.7111	
13399.9	-15.3222	
13399.9	-15.3201	
13499.9	-15.9159	
13599.8	-16.5142	
13599.8	-16.5097	
13699.8	-17.0947	
13799.8	-17.6672	
13799.8	-17.6647	
13899.8	-18.2348	
13999.9	-18.7818	
13999.9	-18.7834	
14099.9	-19.3265	
14199.9	-19.8654	
