Frequency (Hz) - Plot 0	Fase (Deg) - Plot 0	
300.572	12.2228	
300.233	19.7637	
300.017	19.9494	
398.905	26.4318	
399.008	26.3688	
499.765	30.9333	
599.923	34.9283	
599.945	34.905	
699.982	38.6716	
800.009	41.9035	
799.994	41.9112	
900.061	44.6754	
1000.04	47.1061	
1000.05	47.0942	
1100.06	49.1273	
1199.92	50.8523	
1199.93	50.8567	
1299.94	52.3651	
1399.94	53.675	
1399.98	53.6515	
1499.99	54.7481	
1499.97	54.7646	
1600	55.708	
1700	56.5297	
1699.97	56.5532	
1800.03	57.21	
1900.06	57.7891	
1900.06	57.7945	
1999.92	58.2486	
2099.92	58.6897	
2099.93	58.6902	
2199.98	59.0028	
2299.96	59.3267	
2299.96	59.3305	
2400	59.5375	
2500	59.7405	
2500.01	59.7442	
2600.04	59.851	
2700.08	59.9388	
2700.07	59.949	
2799.9	60.012	
2799.92	60.0043	
2899.91	60.0483	
2999.94	60.0498	
2999.94	60.051	
3099.96	60.0317	
3199.99	59.9686	
3199.99	59.9795	
3300.01	59.9137	
3400.04	59.8286	
3400.04	59.8281	
3499.87	59.7227	
3599.9	59.6034	
3599.9	59.6078	
3599.9	59.6049	
3799.95	59.3263	
3799.95	59.3252	
3899.96	59.1723	
3999.98	59.0097	
3999.99	59.0005	
4100.02	58.8247	
4200.04	58.6378	
4200.04	58.6453	
4299.87	58.4613	
4399.89	58.2602	
4399.89	58.2627	
4499.92	58.05	
4599.94	57.8407	
4599.94	57.8442	
4699.97	57.6319	
4799.98	57.4129	
4799.98	57.4153	
4900	57.1932	
5000.04	56.9564	
5000.02	56.9719	
5099.86	56.7304	
5199.89	56.4958	
5199.9	56.4931	
5299.92	56.2593	
5399.94	56.026	
5399.94	56.022	
5499.96	55.7887	
5599.98	55.5456	
5599.99	55.544	
5700	55.3113	
5800.03	55.0614	
5800.03	55.065	
5899.87	54.8196	
5999.89	54.5752	
5999.89	54.5743	
6099.91	54.3359	
6199.93	54.0867	
6299.96	53.8348	
6299.96	53.8406	
6399.98	53.5955	
6399.99	53.593	
6500	53.3597	
6599.84	53.1083	
6599.84	53.1089	
6699.87	52.8581	
6799.88	52.6232	
6799.88	52.6193	
6899.91	52.3712	
6999.94	52.1265	
6999.94	52.1267	
7099.95	51.8959	
7099.95	51.8942	
7199.98	51.6518	
7300	51.4112	
7300	51.414	
7399.84	51.1731	
7499.86	50.9446	
7499.87	50.9366	
7599.88	50.708	
7699.91	50.466	
7699.91	50.4675	
7799.93	50.2321	
7899.95	50.0019	
7899.95	50.0088	
7999.98	49.7731	
8100	49.5398	
8100	49.546	
8199.83	49.3159	
8299.86	49.0888	
8299.86	49.0899	
8399.88	48.8677	
8499.91	48.634	
8499.9	48.6436	
8599.92	48.4215	
8699.95	48.1995	
8699.95	48.1987	
8799.97	47.9839	
8900	47.7635	
8899.99	47.7681	
8999.83	47.5528	
9099.86	47.3335	
9099.85	47.3356	
9199.88	47.1248	
9199.88	47.1241	
9299.9	46.9143	
9399.92	46.7051	
9399.92	46.7054	
9499.95	46.4989	
9599.97	46.2919	
9599.97	46.2981	
9699.81	46.0953	
9799.82	45.9006	
9799.82	45.906	
9899.85	45.6946	
9999.87	45.4903	
9999.88	45.4901	
10099.9	45.3038	
10199.9	45.1133	
10199.9	45.1106	
10299.9	44.918	
10400	44.7198	
10400	44.7211	
10499.8	44.5363	
10599.8	44.3479	
10599.8	44.3468	
10699.8	44.1638	
10799.9	43.9768	
10799.9	43.9809	
10899.9	43.7944	
10999.9	43.6103	
10999.9	43.6182	
11099.9	43.4364	
11200	43.2614	
11200	43.2645	
11299.8	43.0897	
11399.8	42.9084	
11399.8	42.9159	
11499.8	42.7375	
11599.9	42.5718	
11599.9	42.5734	
11699.9	42.3997	
11799.9	42.2399	
11799.9	42.2352	
11899.9	42.0664	
11899.9	42.0694	
12000	41.9063	
12099.8	41.7513	
12099.8	41.7526	
12199.8	41.5821	
12299.8	41.4279	
12299.8	41.4229	
12399.9	41.268	
12499.9	41.114	
12499.9	41.1227	
12599.9	40.9589	
12699.9	40.8042	
12699.9	40.8039	
12799.8	40.6583	
12899.8	40.5058	
12899.8	40.5086	
12999.8	40.3611	
13099.8	40.2104	
13099.8	40.213	
13199.9	40.0665	
13299.9	39.9238	
13299.9	39.9268	
13399.9	39.7842	
13499.9	39.6408	
13499.9	39.6455	
13599.8	39.5096	
13631.8	39.6316	
13699.8	39.3691	
13799.8	39.2331	
13899.8	39.093	
13899.8	39.0917	
13999.9	38.9687	
14099.9	38.8344	
14099.9	38.8321	
14199.9	38.7007	
14299.9	38.5746	
14299.9	38.5723	
14399.8	38.4448	
14499.8	38.3131	
14499.8	38.3224	
14599.8	38.1945	
14699.8	38.0571	
14699.8	38.0626	
14799.9	37.9488	
14899.9	37.8304	
14899.9	37.8275	
14999.9	37.711	
15099.9	37.5929	
15099.9	37.5894	
15199.8	37.4768	
15299.8	37.3559	
15299.8	37.3553	
15399.8	37.247	
15499.8	37.1316	
15499.8	37.1338	
15599.9	37.022	
15699.9	36.9091	
15699.9	36.9101	
15799.9	36.802	
15899.7	36.6911	
15899.7	36.6911	
15999.8	36.58	
15999.8	36.5834	
16099.8	36.4736	
16199.8	36.3688	
16199.8	36.3707	
16299.8	36.2678	
16399.9	36.1636	
16499.9	36.0608	
16499.9	36.0595	
16599.9	35.9615	
16699.7	35.8592	
16699.7	35.8602	
16799.8	35.7602	
16899.8	35.6636	
16899.8	35.6675	
16999.8	35.5692	
16999.8	35.5686	
17099.8	35.4762	
17199.8	35.3816	
17199.9	35.3781	
17299.9	35.2874	
17399.9	35.1967	
17399.9	35.1931	
17499.7	35.1103	
17599.8	35.0116	
17599.8	35.0142	
17699.8	34.9254	
17799.8	34.8354	
17799.8	34.8341	
17899.8	34.7474	
17999.8	34.6663	
17999.8	34.6589	
18099.9	34.5789	
18199.9	34.496	
18199.9	34.4917	
18299.7	34.4093	
18399.8	34.3267	
18399.8	34.3271	
18499.8	34.2469	
18599.8	34.1625	
18599.8	34.1662	
18699.8	34.0893	
18799.8	34.0106	
18799.8	34.003	
18899.9	33.9264	
18899.9	33.926	
18999.7	33.8568	
19099.7	33.7732	
19199.8	33.6945	
19199.7	33.7	
19299.8	33.623	
19399.8	33.5477	
19399.8	33.5521	
19499.8	33.482	
19499.8	33.4731	
19599.8	33.405	
19699.9	33.3318	
19699.9	33.3297	
19799.7	33.2642	
19899.7	33.1923	
19899.7	33.1886	
19999.7	33.1296	
20099.8	33.0528	
20099.8	33.0558	
20199.8	32.9879	
20299.8	32.9186	
20299.8	32.9195	
20399.8	32.8546	
20499.9	32.7869	
20499.9	32.7863	
20599.7	32.7244	
20699.7	32.6618	
20699.7	32.6602	
20799.7	32.599	
20899.8	32.5325	
20899.8	32.5363	
20999.8	32.4776	
21099.8	32.4118	
21099.8	32.412	
21199.8	32.3539	
21299.9	32.2883	
21299.9	32.2937	
21399.7	32.2372	
21499.7	32.1774	
21499.7	32.1817	
21599.7	32.1186	
21699.8	32.0568	
21699.8	32.0607	
21799.8	32.0044	
21899.8	31.9509	
21899.8	31.9526	
21999.8	31.8971	
22099.7	31.8424	
22099.7	31.8453	
22199.7	31.7854	
22299.7	31.7337	
22299.7	31.7358	
22399.7	31.6808	
22499.8	31.6303	
22499.8	31.632	
22599.8	31.5758	
22699.8	31.5303	
22699.8	31.5302	
22799.8	31.4778	
22899.7	31.4282	
22899.7	31.4276	
22999.7	31.3789	
23099.7	31.3345	
23099.7	31.3319	
23199.7	31.2867	
23299.8	31.24	
23299.8	31.2332	
23399.8	31.19	
23431.8	31.2359	
23499.8	31.1475	
23599.8	31.0977	
23599.8	31.1012	
